Epoch 1/25 | Batch 1960/8072 | Loss: 0.8670 | LR: 1.21e-05
Epoch 1/25 | Batch 2000/8072 | Loss: 0.8024 | LR: 1.24e-05
Epoch 1/25 | Batch 2040/8072 | Loss: 0.7169 | LR: 1.26e-05
Epoch 1/25 | Batch 2080/8072 | Loss: 0.8148 | LR: 1.29e-05
Epoch 1/25 | Batch 2120/8072 | Loss: 0.7523 | LR: 1.31e-05
Epoch 1/25 | Batch 2160/8072 | Loss: 0.7978 | LR: 1.34e-05
Epoch 1/25 | Batch 2200/8072 | Loss: 0.8059 | LR: 1.36e-05
Epoch 1/25 | Batch 2240/8072 | Loss: 0.7232 | LR: 1.39e-05
Epoch 1/25 | Batch 2280/8072 | Loss: 0.7963 | LR: 1.41e-05
Epoch 1/25 | Batch 2320/8072 | Loss: 0.8667 | LR: 1.44e-05
Epoch 1/25 | Batch 2360/8072 | Loss: 0.7568 | LR: 1.46e-05
Epoch 1/25 | Batch 2400/8072 | Loss: 0.7811 | LR: 1.49e-05
Epoch 1/25 | Batch 2440/8072 | Loss: 0.8087 | LR: 1.51e-05
Epoch 1/25 | Batch 2480/8072 | Loss: 0.7653 | LR: 1.54e-05
Epoch 1/25 | Batch 2520/8072 | Loss: 0.8168 | LR: 1.56e-05
Epoch 1/25 | Batch 2560/8072 | Loss: 0.7951 | LR: 1.59e-05
Epoch 1/25 | Batch 2600/8072 | Loss: 0.7738 | LR: 1.61e-05
Epoch 1/25 | Batch 2640/8072 | Loss: 0.8158 | LR: 1.64e-05
Epoch 1/25 | Batch 2680/8072 | Loss: 0.7666 | LR: 1.66e-05
Epoch 1/25 | Batch 2720/8072 | Loss: 0.7239 | LR: 1.68e-05
Epoch 1/25 | Batch 2760/8072 | Loss: 0.7149 | LR: 1.71e-05
Epoch 1/25 | Batch 2800/8072 | Loss: 0.7976 | LR: 1.73e-05
Epoch 1/25 | Batch 2840/8072 | Loss: 0.7501 | LR: 1.76e-05
Epoch 1/25 | Batch 2880/8072 | Loss: 0.8012 | LR: 1.78e-05
Epoch 1/25 | Batch 2920/8072 | Loss: 0.7848 | LR: 1.81e-05
Epoch 1/25 | Batch 2960/8072 | Loss: 0.7984 | LR: 1.83e-05
Epoch 1/25 | Batch 3000/8072 | Loss: 0.7460 | LR: 1.86e-05
Epoch 1/25 | Batch 3040/8072 | Loss: 0.7295 | LR: 1.88e-05
Epoch 1/25 | Batch 3080/8072 | Loss: 0.7793 | LR: 1.91e-05
Epoch 1/25 | Batch 3120/8072 | Loss: 0.8152 | LR: 1.93e-05
Epoch 1/25 | Batch 3160/8072 | Loss: 0.7186 | LR: 1.96e-05
Epoch 1/25 | Batch 3200/8072 | Loss: 0.7638 | LR: 1.98e-05
Epoch 1/25 | Batch 3240/8072 | Loss: 0.8193 | LR: 2.01e-05
Epoch 1/25 | Batch 3280/8072 | Loss: 0.7210 | LR: 2.03e-05
Epoch 1/25 | Batch 3320/8072 | Loss: 0.7274 | LR: 2.06e-05
Epoch 1/25 | Batch 3360/8072 | Loss: 0.7761 | LR: 2.08e-05
Epoch 1/25 | Batch 3400/8072 | Loss: 0.8218 | LR: 2.11e-05
Epoch 1/25 | Batch 3440/8072 | Loss: 0.7270 | LR: 2.13e-05
Epoch 1/25 | Batch 3480/8072 | Loss: 0.8312 | LR: 2.16e-05
Epoch 1/25 | Batch 3520/8072 | Loss: 0.8324 | LR: 2.18e-05
Epoch 1/25 | Batch 3560/8072 | Loss: 0.7507 | LR: 2.21e-05
Epoch 1/25 | Batch 3600/8072 | Loss: 0.7689 | LR: 2.23e-05
Epoch 1/25 | Batch 3640/8072 | Loss: 0.7792 | LR: 2.25e-05
Epoch 1/25 | Batch 3680/8072 | Loss: 0.7499 | LR: 2.28e-05
Epoch 1/25 | Batch 3720/8072 | Loss: 0.7430 | LR: 2.30e-05
