Epoch 1/30 | Batch 1960/4036 | Loss: 0.7693 | LR: 2.43e-05
Epoch 1/30 | Batch 2000/4036 | Loss: 0.7292 | LR: 2.48e-05
Epoch 1/30 | Batch 2040/4036 | Loss: 0.7423 | LR: 2.53e-05
Epoch 1/30 | Batch 2080/4036 | Loss: 0.7310 | LR: 2.58e-05
Epoch 1/30 | Batch 2120/4036 | Loss: 0.7876 | LR: 2.63e-05
Epoch 1/30 | Batch 2160/4036 | Loss: 0.7500 | LR: 2.68e-05
Epoch 1/30 | Batch 2200/4036 | Loss: 0.7978 | LR: 2.73e-05
Epoch 1/30 | Batch 2240/4036 | Loss: 0.7709 | LR: 2.78e-05
Epoch 1/30 | Batch 2280/4036 | Loss: 0.7997 | LR: 2.82e-05
Epoch 1/30 | Batch 2320/4036 | Loss: 0.7432 | LR: 2.87e-05
Epoch 1/30 | Batch 2360/4036 | Loss: 0.7388 | LR: 2.92e-05
Epoch 1/30 | Batch 2400/4036 | Loss: 0.8026 | LR: 2.97e-05
Epoch 1/30 | Batch 2440/4036 | Loss: 0.7637 | LR: 3.02e-05
Epoch 1/30 | Batch 2480/4036 | Loss: 0.7626 | LR: 3.07e-05
Epoch 1/30 | Batch 2520/4036 | Loss: 0.7942 | LR: 3.12e-05
Epoch 1/30 | Batch 2560/4036 | Loss: 0.7478 | LR: 3.17e-05
Epoch 1/30 | Batch 2600/4036 | Loss: 0.7566 | LR: 3.22e-05
Epoch 1/30 | Batch 2640/4036 | Loss: 0.7420 | LR: 3.27e-05
Epoch 1/30 | Batch 2680/4036 | Loss: 0.7802 | LR: 3.32e-05
Epoch 1/30 | Batch 2720/4036 | Loss: 0.7358 | LR: 3.37e-05
Epoch 1/30 | Batch 2760/4036 | Loss: 0.7634 | LR: 3.42e-05
Epoch 1/30 | Batch 2800/4036 | Loss: 0.7339 | LR: 3.47e-05
Epoch 1/30 | Batch 2840/4036 | Loss: 0.7685 | LR: 3.52e-05
Epoch 1/30 | Batch 2880/4036 | Loss: 0.7278 | LR: 3.57e-05
Epoch 1/30 | Batch 2920/4036 | Loss: 0.8119 | LR: 3.62e-05
Epoch 1/30 | Batch 2960/4036 | Loss: 0.7475 | LR: 3.67e-05
Epoch 1/30 | Batch 3000/4036 | Loss: 0.7500 | LR: 3.72e-05
Epoch 1/30 | Batch 3040/4036 | Loss: 0.7274 | LR: 3.77e-05
Epoch 1/30 | Batch 3080/4036 | Loss: 0.7409 | LR: 3.82e-05
Epoch 1/30 | Batch 3120/4036 | Loss: 0.7991 | LR: 3.87e-05
Epoch 1/30 | Batch 3160/4036 | Loss: 0.7628 | LR: 3.91e-05
Epoch 1/30 | Batch 3200/4036 | Loss: 0.7642 | LR: 3.96e-05
Epoch 1/30 | Batch 3240/4036 | Loss: 0.7865 | LR: 4.01e-05
Epoch 1/30 | Batch 3280/4036 | Loss: 0.7810 | LR: 4.06e-05
Epoch 1/30 | Batch 3320/4036 | Loss: 0.7634 | LR: 4.11e-05
Epoch 1/30 | Batch 3360/4036 | Loss: 0.7777 | LR: 4.16e-05
Epoch 1/30 | Batch 3400/4036 | Loss: 0.7403 | LR: 4.21e-05
Epoch 1/30 | Batch 3440/4036 | Loss: 0.7485 | LR: 4.26e-05
Epoch 1/30 | Batch 3480/4036 | Loss: 0.7935 | LR: 4.31e-05
Epoch 1/30 | Batch 3520/4036 | Loss: 0.7762 | LR: 4.36e-05
Epoch 1/30 | Batch 3560/4036 | Loss: 0.7531 | LR: 4.41e-05
Epoch 1/30 | Batch 3600/4036 | Loss: 0.7103 | LR: 4.46e-05
Epoch 1/30 | Batch 3640/4036 | Loss: 0.7518 | LR: 4.51e-05
Epoch 1/30 | Batch 3680/4036 | Loss: 0.7532 | LR: 4.56e-05
Epoch 1/30 | Batch 3720/4036 | Loss: 0.7623 | LR: 4.61e-05
Epoch 1/30 | Batch 3760/4036 | Loss: 0.7752 | LR: 4.66e-05
Epoch 1/30 | Batch 3800/4036 | Loss: 0.7607 | LR: 4.71e-05
Epoch 1/30 | Batch 3840/4036 | Loss: 0.7361 | LR: 4.76e-05
Epoch 1/30 | Batch 3880/4036 | Loss: 0.7830 | LR: 4.81e-05
Epoch 1/30 | Batch 3920/4036 | Loss: 0.7493 | LR: 4.86e-05
Epoch 1/30 | Batch 3960/4036 | Loss: 0.7583 | LR: 4.91e-05
Epoch 1/30 | Batch 4000/4036 | Loss: 0.7517 | LR: 4.96e-05
  Sample - Pred: [34, 40, 20, 2, 23, 40, 17, 25, 23, 17, 2, 40, 20, 3, 23] | True: [34, 40, 20, 2, 23, 40, 29, 18, 40, 10, 3, 40, 20, 25, 9]

Epoch 1 Summary:
  Train Loss: 0.7976
  Val Loss: 0.7687
  PER: 0.5156
  Avg LR: 2.50e-05
------------------------------------------------------------
  ** New best model saved! PER: 0.5156
Epoch 2/30 | Batch 0/4036 | Loss: 0.7351 | LR: 5.00e-05
Epoch 2/30 | Batch 40/4036 | Loss: 0.7455 | LR: 5.05e-05
Epoch 2/30 | Batch 80/4036 | Loss: 0.7698 | LR: 5.10e-05
Epoch 2/30 | Batch 120/4036 | Loss: 0.7567 | LR: 5.15e-05
Epoch 2/30 | Batch 160/4036 | Loss: 0.7251 | LR: 5.20e-05
Epoch 2/30 | Batch 200/4036 | Loss: 0.7281 | LR: 5.25e-05
Epoch 2/30 | Batch 240/4036 | Loss: 0.7718 | LR: 5.30e-05
Epoch 2/30 | Batch 280/4036 | Loss: 0.7440 | LR: 5.35e-05
Epoch 2/30 | Batch 320/4036 | Loss: 0.7922 | LR: 5.40e-05
Epoch 2/30 | Batch 360/4036 | Loss: 0.7382 | LR: 5.45e-05
Epoch 2/30 | Batch 400/4036 | Loss: 0.7320 | LR: 5.50e-05
Epoch 2/30 | Batch 440/4036 | Loss: 0.7286 | LR: 5.55e-05
Epoch 2/30 | Batch 480/4036 | Loss: 0.7262 | LR: 5.59e-05
Epoch 2/30 | Batch 520/4036 | Loss: 0.7787 | LR: 5.64e-05
Epoch 2/30 | Batch 560/4036 | Loss: 0.7716 | LR: 5.69e-05
Epoch 2/30 | Batch 600/4036 | Loss: 0.7691 | LR: 5.74e-05
Epoch 2/30 | Batch 640/4036 | Loss: 0.7974 | LR: 5.79e-05
Epoch 2/30 | Batch 680/4036 | Loss: 0.7634 | LR: 5.84e-05
Epoch 2/30 | Batch 720/4036 | Loss: 0.7065 | LR: 5.89e-05
Epoch 2/30 | Batch 760/4036 | Loss: 0.7469 | LR: 5.94e-05
Epoch 2/30 | Batch 800/4036 | Loss: 0.7742 | LR: 5.99e-05
Epoch 2/30 | Batch 840/4036 | Loss: 0.7503 | LR: 6.04e-05
Epoch 2/30 | Batch 880/4036 | Loss: 0.7334 | LR: 6.09e-05
Epoch 2/30 | Batch 920/4036 | Loss: 0.7558 | LR: 6.14e-05
Epoch 2/30 | Batch 960/4036 | Loss: 0.7230 | LR: 6.19e-05
Epoch 2/30 | Batch 1000/4036 | Loss: 0.7531 | LR: 6.24e-05
Epoch 2/30 | Batch 1040/4036 | Loss: 0.7419 | LR: 6.29e-05
Epoch 2/30 | Batch 1080/4036 | Loss: 0.7501 | LR: 6.34e-05
Epoch 2/30 | Batch 1120/4036 | Loss: 0.7178 | LR: 6.39e-05
Epoch 2/30 | Batch 1160/4036 | Loss: 0.7546 | LR: 6.44e-05
Epoch 2/30 | Batch 1200/4036 | Loss: 0.7464 | LR: 6.49e-05
Epoch 2/30 | Batch 1240/4036 | Loss: 0.7495 | LR: 6.54e-05
Epoch 2/30 | Batch 1280/4036 | Loss: 0.7678 | LR: 6.59e-05
Epoch 2/30 | Batch 1320/4036 | Loss: 0.7345 | LR: 6.64e-05
Epoch 2/30 | Batch 1360/4036 | Loss: 0.7307 | LR: 6.68e-05
Epoch 2/30 | Batch 1400/4036 | Loss: 0.7485 | LR: 6.73e-05
Epoch 2/30 | Batch 1440/4036 | Loss: 0.7569 | LR: 6.78e-05
Epoch 2/30 | Batch 1480/4036 | Loss: 0.7360 | LR: 6.83e-05
Epoch 2/30 | Batch 1520/4036 | Loss: 0.7543 | LR: 6.88e-05
Epoch 2/30 | Batch 1560/4036 | Loss: 0.7441 | LR: 6.93e-05
Epoch 2/30 | Batch 1600/4036 | Loss: 0.7441 | LR: 6.98e-05
Epoch 2/30 | Batch 1640/4036 | Loss: 0.7266 | LR: 7.03e-05
Epoch 2/30 | Batch 1680/4036 | Loss: 0.7046 | LR: 7.08e-05
Epoch 2/30 | Batch 1720/4036 | Loss: 0.7502 | LR: 7.13e-05
Epoch 2/30 | Batch 1760/4036 | Loss: 0.7556 | LR: 7.18e-05
Epoch 2/30 | Batch 1800/4036 | Loss: 0.7505 | LR: 7.23e-05
Epoch 2/30 | Batch 1840/4036 | Loss: 0.7977 | LR: 7.28e-05
Epoch 2/30 | Batch 1880/4036 | Loss: 0.7861 | LR: 7.33e-05
Epoch 2/30 | Batch 1920/4036 | Loss: 0.7601 | LR: 7.38e-05
Epoch 2/30 | Batch 1960/4036 | Loss: 0.7538 | LR: 7.43e-05
Epoch 2/30 | Batch 2000/4036 | Loss: 0.7731 | LR: 7.48e-05
Epoch 2/30 | Batch 2040/4036 | Loss: 0.7415 | LR: 7.53e-05
Epoch 2/30 | Batch 2080/4036 | Loss: 0.7330 | LR: 7.58e-05
Epoch 2/30 | Batch 2120/4036 | Loss: 0.7560 | LR: 7.63e-05
Epoch 2/30 | Batch 2160/4036 | Loss: 0.7806 | LR: 7.68e-05
Epoch 2/30 | Batch 2200/4036 | Loss: 0.7262 | LR: 7.73e-05
Epoch 2/30 | Batch 2240/4036 | Loss: 0.8215 | LR: 7.78e-05
Epoch 2/30 | Batch 2280/4036 | Loss: 0.7429 | LR: 7.82e-05
Epoch 2/30 | Batch 2320/4036 | Loss: 0.7656 | LR: 7.87e-05
Epoch 2/30 | Batch 2360/4036 | Loss: 0.7709 | LR: 7.92e-05
Epoch 2/30 | Batch 2400/4036 | Loss: 0.7032 | LR: 7.97e-05
Epoch 2/30 | Batch 2440/4036 | Loss: 0.7281 | LR: 8.02e-05
Epoch 2/30 | Batch 2480/4036 | Loss: 0.7413 | LR: 8.07e-05
Epoch 2/30 | Batch 2520/4036 | Loss: 0.7217 | LR: 8.12e-05
Epoch 2/30 | Batch 2560/4036 | Loss: 0.7637 | LR: 8.17e-05
Epoch 2/30 | Batch 2600/4036 | Loss: 0.7361 | LR: 8.22e-05
Epoch 2/30 | Batch 2640/4036 | Loss: 0.7310 | LR: 8.27e-05
Epoch 2/30 | Batch 2680/4036 | Loss: 0.7302 | LR: 8.32e-05
Epoch 2/30 | Batch 2720/4036 | Loss: 0.7176 | LR: 8.37e-05
Epoch 2/30 | Batch 2760/4036 | Loss: 0.7849 | LR: 8.42e-05
Epoch 2/30 | Batch 2800/4036 | Loss: 0.7248 | LR: 8.47e-05
Epoch 2/30 | Batch 2840/4036 | Loss: 0.7459 | LR: 8.52e-05
Epoch 2/30 | Batch 2880/4036 | Loss: 0.7413 | LR: 8.57e-05
Epoch 2/30 | Batch 2920/4036 | Loss: 0.7563 | LR: 8.62e-05
Epoch 2/30 | Batch 2960/4036 | Loss: 0.7157 | LR: 8.67e-05
Epoch 2/30 | Batch 3000/4036 | Loss: 0.7280 | LR: 8.72e-05
Epoch 2/30 | Batch 3040/4036 | Loss: 0.6953 | LR: 8.77e-05
Epoch 2/30 | Batch 3080/4036 | Loss: 0.7119 | LR: 8.82e-05
Epoch 2/30 | Batch 3120/4036 | Loss: 0.7116 | LR: 8.87e-05
Epoch 2/30 | Batch 3160/4036 | Loss: 0.7237 | LR: 8.91e-05
Epoch 2/30 | Batch 3200/4036 | Loss: 0.7550 | LR: 8.96e-05
Epoch 2/30 | Batch 3240/4036 | Loss: 0.7321 | LR: 9.01e-05
Epoch 2/30 | Batch 3280/4036 | Loss: 0.7591 | LR: 9.06e-05
Epoch 2/30 | Batch 3320/4036 | Loss: 0.7041 | LR: 9.11e-05
Epoch 2/30 | Batch 3360/4036 | Loss: 0.7321 | LR: 9.16e-05
Epoch 2/30 | Batch 3400/4036 | Loss: 0.7154 | LR: 9.21e-05
Epoch 2/30 | Batch 3440/4036 | Loss: 0.7466 | LR: 9.26e-05
Epoch 2/30 | Batch 3480/4036 | Loss: 0.7077 | LR: 9.31e-05
Epoch 2/30 | Batch 3520/4036 | Loss: 0.7582 | LR: 9.36e-05
Epoch 2/30 | Batch 3560/4036 | Loss: 0.6976 | LR: 9.41e-05
Epoch 2/30 | Batch 3600/4036 | Loss: 0.7879 | LR: 9.46e-05
Epoch 2/30 | Batch 3640/4036 | Loss: 0.7697 | LR: 9.51e-05
Epoch 2/30 | Batch 3680/4036 | Loss: 0.7487 | LR: 9.56e-05
Epoch 2/30 | Batch 3720/4036 | Loss: 0.7272 | LR: 9.61e-05
Epoch 2/30 | Batch 3760/4036 | Loss: 0.7152 | LR: 9.66e-05
Epoch 2/30 | Batch 3800/4036 | Loss: 0.7128 | LR: 9.71e-05
Epoch 2/30 | Batch 3840/4036 | Loss: 0.7841 | LR: 9.76e-05
Epoch 2/30 | Batch 3880/4036 | Loss: 0.7170 | LR: 9.81e-05
Epoch 2/30 | Batch 3920/4036 | Loss: 0.7297 | LR: 9.86e-05
Epoch 2/30 | Batch 3960/4036 | Loss: 0.7261 | LR: 9.91e-05
Epoch 2/30 | Batch 4000/4036 | Loss: 0.7437 | LR: 9.96e-05
  Sample - Pred: [34, 40, 20, 2, 23, 40, 29, 18, 22, 3, 40, 16, 3, 21, 40] | True: [34, 40, 20, 2, 23, 40, 29, 18, 40, 10, 3, 40, 20, 25, 9]

Epoch 2 Summary:
  Train Loss: 0.7444
  Val Loss: 0.7476
  PER: 0.3869
  Avg LR: 7.50e-05
------------------------------------------------------------
